period_days,duration_hours,depth_ppm,prad_re,teff_k,logg_cgs,srad_rsun,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec
24.5709023,3.587,764.2,2.82,5095.0,4.566,0.78,0.0,0.0,0.0,0.0
10.57910009,1.4553,329.3,2.03,6323.0,4.418,1.093,0.0,0.0,0.0,0.0
2.7567395,2.3808565,9248.4759918,13.8044661,6034.0,4.26998,1.28427,0.0,0.0,0.0,0.0
10.05176778,3.214,1238.5,3.96,3920.0,4.6932,0.550856,0.0,0.0,0.0,0.0
20.27362337,3.214,1238.5,3.96,5742.0,4.58473,0.85554,0.0,0.0,0.0,0.0
1084.0,3.214,1238.5,3.96,6226.0,4.411,1.343,0.0,0.0,0.0,0.0
17.1470323,3.895,2310.0,5.37173,5689.0,4.34,1.13,0.0,0.0,0.0,0.0
0.56678702,3.074,7.5,0.27,6045.0,4.375,0.999,0.0,0.0,0.0,1.0
1.42796645,12.8653,6012.3,39.76,6099.0,4.511,0.919,1.0,0.0,0.0,0.0
1.075,3.214,1238.5,3.96,3503.0,4.447,0.567,0.0,0.0,0.0,0.0
15.358767771,4.1223,14638.0,10.89,5422.0,4.484,0.887,0.0,0.0,0.0,0.0
3.8823511,2.6909833,3177.344653,9.5364228,5622.4,3.98,1.68668,0.0,0.0,0.0,0.0
0.872359598,3.74512,267050.0,67.08,6240.0,4.391,1.048,0.0,1.0,0.0,0.0
9.0182382,3.199,3480.0,5.61073,5805.0,4.51,0.94,0.0,0.0,0.0,0.0
4.9777448,2.891,13389.0,12.9782,5785.0,4.29,1.21,0.0,0.0,0.0,0.0
1.405887031,1.184,216.0,0.95,4440.0,4.618,0.653,0.0,0.0,1.0,0.0
29.481061268,3.6636,11871.0,16.61,5631.0,4.41,0.901,0.0,0.0,0.0,0.0
13.621832,3.214,1238.5,1.66551298,5673.0,4.58,0.890666,0.0,0.0,0.0,0.0
1.99042642,3.083,133.8,1.17,6198.0,4.464,1.005,0.0,0.0,1.0,0.0
19.292062,3.214,1238.5,3.96,5533.0,4.4536,0.968923,0.0,0.0,0.0,0.0
4.7535,3.214,1238.5,1.5147,5986.0,4.222,1.27,0.0,0.0,0.0,0.0
545.54618,6.944,177.7,2.01,6432.0,4.145,1.476,1.0,0.0,0.0,0.0
5.40346248,7.6494,261350.0,108.46,6350.0,3.921,1.984,0.0,1.0,0.0,0.0
5.8365098,12.002,13520.0,11.62,5557.0,4.44,0.99,0.0,0.0,0.0,0.0
5.87913354,3.214,1238.5,3.96,4111.0,4.43205,0.807445,0.0,0.0,0.0,0.0
3.3501179,1.651,4066.0,17.5987,6238.0,3.7,2.57,0.0,0.0,0.0,0.0
0.877214,3.214,1238.5,1.3,5820.0,4.6,0.93,0.0,0.0,0.0,0.0
8.66698,6.104,9854.3,27.4804,6322.2,3.77,2.52,0.0,0.0,0.0,0.0
3.8285502,5.248,2531.0,12.7621,7075.0,3.74,2.8,0.0,0.0,0.0,0.0
27.009807384,1.96698,67898.0,22.32,3900.0,4.727,0.534,0.0,1.0,0.0,0.0
1.8675574,1.408,1500.0,23.7529,8924.0,4.411,5.73,0.0,0.0,0.0,0.0
19.5352551,1.013,1732.0,0.53,2703.0,5.274,0.118,1.0,0.0,0.0,0.0
5.70940795,1.622,586.7,1.51,4402.0,4.682,0.572,0.0,0.0,0.0,0.0
5.2976347,1.711,3920.0,4.00604,4031.0,4.65,0.62,0.0,0.0,0.0,0.0
2.7472062,2.548,12816.0,11.9193,5528.0,4.32,1.13,0.0,0.0,0.0,0.0
6.102325,3.214,1238.5,1.97,4674.13,4.411,0.634663,0.0,0.0,0.0,0.0
4.1976032,1.971,10045.0,11.3523,5617.0,4.29,1.18,0.0,0.0,0.0,0.0
242.0367,11.01,333.3,2.11,6086.0,4.36,1.116,0.0,0.0,0.0,0.0
1.0021853,0.5001924,2319.9972324,5.0155627,5071.0,4.48308,0.874822,0.0,0.0,0.0,0.0
21.7004042,9.415,406.0,3.16777,5788.7,4.22,1.78,0.0,0.0,0.0,0.0
0.530300102,2.8502,3040.0,35.73,6184.0,4.448,1.038,0.0,0.0,0.0,1.0
21.4930896,3.609,1244.0,2.38489,4734.0,4.61,0.72,0.0,0.0,0.0,0.0
1.7454828,1.923273,6919.1303309,14.1453349,6674.0,4.24,1.4871401,0.0,0.0,0.0,0.0
5.62006198,2.751,190.1,1.45,4868.0,4.6,0.746,0.0,0.0,0.0,0.0
8.2904597,2.6002,173010.0,23.96,4601.0,4.681,0.566,0.0,1.0,0.0,0.0
37.183276326,14.0996,221200.0,55.0,5657.0,4.23,1.168,0.0,1.0,0.0,0.0
4.2290856,1.8943522,2605.430842,1.915198,3264.0,4.90343,0.320782,0.0,0.0,0.0,0.0
